hash,mediana_cpu,pico_cpu,mediana_memoria,pico_memoria,flavor
02e61f85851a2aa1fe5fc87a10fcfb51,0.7504304123168999,0.8533512440326,49.05078125,49.17578125,f0
02ea451d304cb0113ef65c23e33eeac6,0.3334686486746,0.3334686486746,92.84765625,92.84765625,f1
02f4385f695d86df53b645ee98f5fb12,0.2318773156187,0.2868306983354,1.845703125,1.84765625,f0
0301fca8d9788097fb116eba7ead6314,8.9991523574317,8.9991523574317,169.46484375,169.46484375,f8
03165c46ef620354033c937c9cba3e10,2.13606399287465,2.7573481390346,56.234375,57.8515625,f2
0320ae9615d725d68b87868d2f0fb74f,0.8794145837748,1.1212455302489999,274.51171875,274.63671875,f5
03241cfbf00de4344be218bc3a9e134b,0.9392823572178499,1.2596711974773,211.12890625,215.6328125,f4
0339228f8c3ae959f33d76ee95bf1425,3.3952146285252,9.7711695525074,519.177734375,519.60546875,f10
033934b201c089f35e66a737eadf70d1,0.12334249337004999,0.4593362522721,44.990234375,73.41015625,f1
033d3386bcf2c31768a888fe47b29c38,4.3355593899999,4.3355593899999,23.40625,23.40625,f4
033e7409df32afb9a06afc1aa2ad7e80,0.7893280207209001,0.8304584921471001,346.453125,346.5234375,f6
03499b8902ba566a285d8bc1d027b4b9,0.0312079151262,0.0343908857239,89.71875,89.71875,f1
0350d838a26cd8b0236af00ab0598033,2.0777036903697,3.6979097280396998,305.7421875,310.64453125,f6
035c4c87c7cd0bf6645776d0f126c8fd,0.0245182981774,0.0777771897313,69.8359375,69.93359375,f1
037373e9efff9075366f72d3ec448baf,0.022447701104400003,0.026818873213800002,15.625,15.625,f0
0376516fd29498d4ab52fa0aefde2d97,0.0199472936883,0.0227198891538,1.7109375,1.7109375,f0
037a774546cfd5d98b381b0dbfcf0000,2.6629539179265,2.6629539179265,13.54296875,13.54296875,f2
038bf1435a3e4788e0a095ef0da52923,2.6080813861356,3.5760743756838,116.291015625,128.0,f3
038c67b8d8aaffe102e36bc57b2020e6,0.6939788120396999,0.8050775571702999,133.04296875,133.0546875,f2
0392802b28384c1c3b30e99d337bca19,2.08473781650435,2.3429378609203,253.54296875,253.79296875,f5
03a8353d20e75a1321f6a0546e4c84db,1.6201184757406502,2.327500508729,137.0859375,137.12890625,f2
03abc97efcba8b781f6333e20327bfe0,0.1561935077319,0.1744750490615,184.02734375,184.02734375,f3
03acc6d2818f8a0d4d54cf8e03d5b085,3.7906612721341997,5.357389885379,364.388671875,364.5078125,f7
03b6e71c5994c7f7ab009e9ff826e14f,1.5867832518450502,1.6976862997135,489.08984375,489.09375,f9
03bd9d5b3c529d191a1b093fa661b11b,0.18400628020839999,0.3495848714965,42.92578125,43.21484375,f0
03eb8e3cae63aaa8a4ae5824a8334fbf,0.00046572136625000005,0.0004757705004,1.70703125,1.70703125,f0
0403196da3f8f1824109bdbe387e83f6,0.38514456082805004,8.2373903187617,35.8046875,36.140625,f7
0404a4909a3d2513fbfb5ed897c2b018,0.56869963769305,0.6664990103759,31.578125,31.70703125,f0
04198f333ed2db81775d8270296727f8,2.8363171364225996,3.3045635676285,9.66796875,9.671875,f3
042a9006a5154dbf59ae753791c1af2b,1.9500700101809998,2.9933592744319997,518.509765625,531.65625,f10
042c2cfa904a14d761d8ff59f6a76483,0.7754343007376,0.8177719452773999,222.984375,222.984375,f4
043fa45b17efe2a8cc87b600946df19b,0.24685607883945,0.28095247073449997,1.890625,2.015625,f0
046a77ba7ac6cfd4900d892e40574d3d,0.10272619448029999,0.1194374917011,115.078125,115.078125,f2
046cdd6268430cc7bd65fc9afde795f1,2.00437296176225,2.4560776598195,29.45703125,29.4609375,f2
04707c6a5b432eadc4498c482a1ea728,2.174200293846,5.8417992824926,75.361328125,185.703125,f5
0471a86881c7717789ad6ec7f089a125,0.14744283532425,0.5714657210595,46.708984375,76.57421875,f1
04748e49b5c2931d876f9988c6b32f93,0.059335121971049995,0.0636685920667,30.951171875,31.98046875,f0
047ba47464423b99973da2d1efcbec73,0.808820001041,1.1189714034129998,368.37890625,368.515625,f7
047bf64fe72d828bc2e3cd5e032e4ab4,1.1327109670016,1.3801973093057,68.375,68.890625,f1
0490901c7d02954a95d0be93d61d78b7,0.38676027270819996,0.7232758111199,98.46875,99.31640625,f1
04966eb371a2a048cf9cc8dc0cb51dd0,0.23126526154305,0.26202352131400003,41.5859375,41.5859375,f0
0496937f25a1a95c71dfe06365703d1f,0.6003241702986,0.6415916158755,127.078125,127.203125,f2
04a820e2fc8897b3425265add4035439,0.24428017155909998,0.2840482379476,22.513671875,24.7734375,f0
04aacc66f8239208953e37fac4a61602,0.8901180311432499,0.9957204729244999,309.70703125,309.8359375,f6
04b27a491ba162a27c007528085eb2b6,1.7285155298086,2.9111032442198,391.65625,392.2109375,f7
04b3e310a2c989dff2c5ca1fd2476a0c,1.5311741707726,2.5251449242412,119.3125,119.62890625,f2
