Sistema,Ambiente,Modulo,Pod,Error,Qtd,Hora,Minuto,Hash
pucomexmetrics,pucomexmetrics-supcd,prom,prom-6d87655dbc-spxsq,OOMKilled,1,21,45,a180c1763cabc2a36f7262b4bd72c778
recomgov,recomgov-mondf,prometheus,prometheus-c84468f84-dbdqb,OOMKilled,1,21,45,8b91b0e8cf86a99eb2690048920070ce
appgovbr,appgovbr-mon,prometheus,prometheus-85fc9b5cfc-6r4jq,OOMKilled,1,21,45,ce628e9ac1198b994b643224e0b0542d
assiste,assiste-monitoracao,prometheus,prometheus-54d9884fc7-wlk5m,OOMKilled,1,21,45,262b89d1cc0bf17ed8690bcb38c90f93
bcadastros,bcadastros-mon,prometheus,prometheus-5b846f6454-ls6nj,OOMKilled,1,21,45,2f86769bc74ecfd2bfd35c06c346af70
bconsent,bconsent-mon,prometheus,prometheus-6bf566b5f9-92vkl,OOMKilled,1,21,45,fff602eaae3069b08241eb3d38862349
bilcd,bilcd-mon,prometheus,prometheus-6df5b6d9b7-85vfk,OOMKilled,1,21,45,1ff4397ec3234fb0ef9fe54d8c3f2945
carteiradigital,carteiradigital-mon,prometheus,prometheus-685cdf8cf9-wnv6s,OOMKilled,1,21,45,32fc29d961b9428e238a1ac5034b792e
custos,custos-mon,prometheus,prometheus-7dc8557bff-dq6jt,OOMKilled,1,21,45,c05ee04e691f997d80ab1e6f1b87753c
portalunico,portalunico-mon,prometheus,prometheus-598545549c-zv5bw,OOMKilled,1,21,45,4c194e7eef400a4c2c76be9b34c161c8
puma,puma-mon,prometheus,prometheus-5bd6fc44cd-s8n67,OOMKilled,1,21,45,349ea0410cb352734265b65b9af6e1e6
renavam,renavam-mon,prometheus,prometheus-64f98ffc4-76s66,OOMKilled,1,21,45,86b2aaad86c36afccd0346fd51468a2f
renave,renave-mon,prometheus,prometheus-c4f8bd46f-qdcvh,OOMKilled,1,21,45,706ae6aa1efd7dbaee588835ec94d614
siscomex-di,siscomex-di-mon,prometheus,prometheus-75b6b4d896-7xzlj,OOMKilled,1,21,45,1c07235f155cb5d2465e64170414dd15
spednfe,spednfe-mon,prometheus,prometheus-54d874f9bd-pgw6v,OOMKilled,1,21,45,a265bf875d6131b8431b5c1989a7a3ac
baas,baas-monbsa,prometheus-df,prometheus-df-5546df7854-cvkpz,OOMKilled,1,21,45,a0e71cdde166e6071a4bd6cecc70e8cc
integracontador,integracontador-m,prth,prth-6889877679-xgkd9,OOMKilled,1,21,45,db0baad1f78de8532d45eecdac140fe8
pucomex-gate,pucomex-gate-pro,pucomex-gate-cnpj,pucomex-gate-cnpj-58cc68cd4b-2lt5j,OOMKilled,1,21,45,62301d46d07731210a919e90692cc489
pucomex-gate,pucomex-gate-pro,pucomex-gate-cnpj,pucomex-gate-cnpj-58cc68cd4b-r6rv7,OOMKilled,1,21,45,adbb26c7624be5d6abcf51881730ce08
biovoz,biovoz-h,queue-service,queue-service-6868fbdcbc-bdrdp,OOMKilled,1,21,45,d6f7f13d9af44b667c7b38fc46230cf0
observaserpro,observaserpro-d,r1-valid,r1-valid-57fc7f9f48-cgq45,OOMKilled,1,21,45,e738bc1122365ffa09ac8d52116c9400
spunet,spunet-pro,rabbitmq-expoter,rabbitmq-expoter-6d487dddc8-cxr4b,OOMKilled,1,21,45,7b1621af6d80ff2715eaede64047d3fd
raia,raia-p,raia-backend,raia-backend-7c4ff64cbc-wp65k,OOMKilled,1,21,45,7e88a721e82a66bdf82d55d244a6f842
carteiradigital,carteiradigital-p,recall,recall-7f7b94b54d-2qnb6,OOMKilled,1,21,45,85c29f017b4d1e5c54d4f4afc838a0be
carteiradigital,carteiradigital-p,recall,recall-7f7b94b54d-65lnq,OOMKilled,1,21,45,acdb0293f96a45ba98e8ea10f5e72e49
